system,leisure,cec,prob_ruin,mean_retirement_consumption,n_paths,cec_survival_weighted,retire_age,working_years,retired_years,claim_factor,mean_benefit
au_pension_only,1.75,0.382274325986477,0.16931,0.645987312640521,100000,0.40056136335177867,55,30,38,1.0,0.09271605298432568
au_pension_only,2.0,0.35906269703592536,0.16931,0.645987312640521,100000,0.3710758755323384,55,30,38,1.0,0.09271605298432568
au_pension_only,1.0,0.4988136616215582,0.15081,0.794017413323788,100000,0.542131706159733,58,33,35,1.0,0.08020733123049868
au_pension_only,1.05,0.4950754600347787,0.15081,0.794017413323788,100000,0.5362937930289193,58,33,35,1.0,0.08020733123049868
au_pension_only,1.1,0.49093168616900285,0.15081,0.794017413323788,100000,0.5299321430931443,58,33,35,1.0,0.08020733123049868
au_pension_only,1.15,0.486388267523226,0.15081,0.794017413323788,100000,0.5230821204508433,58,33,35,1.0,0.08020733123049868
au_pension_only,1.2,0.481458120663729,0.15081,0.794017413323788,100000,0.5157883713355186,58,33,35,1.0,0.08020733123049868
au_pension_only,1.25,0.4761607541344136,0.15081,0.794017413323788,100000,0.508102795913123,58,33,35,1.0,0.08020733123049868
au_pension_only,1.3,0.470521577755412,0.15081,0.794017413323788,100000,0.5000822848362398,58,33,35,1.0,0.08020733123049868
au_pension_only,1.4,0.45834319345889474,0.15081,0.794017413323788,100000,0.48327528389230273,58,33,35,1.0,0.08020733123049868
au_pension_only,1.5,0.4452054000572078,0.15081,0.794017413323788,100000,0.4658391312012886,58,33,35,1.0,0.08020733123049868
au_pension_only,1.75,0.41015032115006883,0.15081,0.794017413323788,100000,0.4221153651736656,58,33,35,1.0,0.08020733123049868
au_pension_only,2.0,0.3751328615297973,0.15081,0.794017413323788,100000,0.38143855970959367,58,33,35,1.0,0.08020733123049868
au_pension_only,1.0,0.5395474262274405,0.1391,0.9123683702980917,100000,0.5848356233405209,60,35,33,1.0,0.07232658860823893
au_pension_only,1.05,0.5335046176347553,0.1391,0.9123683702980917,100000,0.5755888003177433,60,35,33,1.0,0.07232658860823893
au_pension_only,1.1,0.5269344075133433,0.1391,0.9123683702980917,100000,0.5657706869668225,60,35,33,1.0,0.07232658860823893
au_pension_only,1.15,0.5198763051634134,0.1391,0.9123683702980917,100000,0.555476047732934,60,35,33,1.0,0.07232658860823893
au_pension_only,1.2,0.5123790010939441,0.1391,0.9123683702980917,100000,0.5448042214228264,60,35,33,1.0,0.07232658860823893
au_pension_only,1.25,0.504498116794276,0.1391,0.9123683702980917,100000,0.5338545284233478,60,35,33,1.0,0.07232658860823893
au_pension_only,1.3,0.49629376408700016,0.1391,0.9123683702980917,100000,0.5227223977046684,60,35,33,1.0,0.07232658860823893
au_pension_only,1.4,0.47916321188652367,0.1391,0.9123683702980917,100000,0.5002562662663794,60,35,33,1.0,0.07232658860823893
au_pension_only,1.5,0.4614718376465962,0.1391,0.9123683702980917,100000,0.4780021481024966,60,35,33,1.0,0.07232658860823893
au_pension_only,1.75,0.4174104671926328,0.1391,0.9123683702980917,100000,0.42578768400143807,60,35,33,1.0,0.07232658860823893
au_pension_only,2.0,0.37672476631442653,0.1391,0.9123683702980917,100000,0.38048977844706233,60,35,33,1.0,0.07232658860823893
au_pension_only,1.0,0.5782660477180561,0.12418,1.050604604010829,100000,0.6205565212145832,62,37,31,1.0,0.06401579121990515
au_pension_only,1.05,0.5688182253480902,0.12418,1.050604604010829,100000,0.606910895489089,62,37,31,1.0,0.06401579121990515
au_pension_only,1.1,0.5588136529705632,0.12418,1.050604604010829,100000,0.5928681760018445,62,37,31,1.0,0.06401579121990515
au_pension_only,1.15,0.5483516934420106,0.12418,1.050604604010829,100000,0.5785871318565851,62,37,31,1.0,0.06401579121990515
au_pension_only,1.2,0.5375351125495131,0.12418,1.050604604010829,100000,0.5642124255036777,62,37,31,1.0,0.06401579121990515
au_pension_only,1.25,0.5264654137463849,0.12418,1.050604604010829,100000,0.5498707648527971,62,37,31,1.0,0.06401579121990515
au_pension_only,1.3,0.5152390173754492,0.12418,1.050604604010829,100000,0.5356691755453877,62,37,31,1.0,0.06401579121990515
au_pension_only,1.4,0.49266049747071694,0.12418,1.050604604010829,100000,0.5080167518167233,62,37,31,1.0,0.06401579121990515
au_pension_only,1.5,0.47038649611360495,0.12418,1.050604604010829,100000,0.4817414847525364,62,37,31,1.0,0.06401579121990515
au_pension_only,1.75,0.41841578984858296,0.12418,1.050604604010829,100000,0.42335609501603805,62,37,31,1.0,0.06401579121990515
au_pension_only,2.0,0.3735803203500861,0.12418,1.050604604010829,100000,0.37531141221063485,62,37,31,1.0,0.06401579121990515
au_pension_only,1.0,0.5917883173233238,0.11716,1.1287723379808312,100000,0.6329551843446777,63,38,30,1.0,0.05996434275913203
au_pension_only,1.05,0.5805779553683249,0.11716,1.1287723379808312,100000,0.6170996247804462,63,38,30,1.0,0.05996434275913203
au_pension_only,1.1,0.5688630236820611,0.11716,1.1287723379808312,100000,0.6010300045811956,63,38,30,1.0,0.05996434275913203
au_pension_only,1.15,0.5567715228499142,0.11716,1.1287723379808312,100000,0.58492127268457,63,38,30,1.0,0.05996434275913203
au_pension_only,1.2,0.5444280001369121,0.11716,1.1287723379808312,100000,0.5689226090404887,63,38,30,1.0,0.05996434275913203
au_pension_only,1.25,0.5319486955885543,0.11716,1.1287723379808312,100000,0.5531561943620219,63,38,30,1.0,0.05996434275913203
au_pension_only,1.3,0.5194381986828409,0.11716,1.1287723379808312,100000,0.5377181595344724,63,38,30,1.0,0.05996434275913203
au_pension_only,1.4,0.4946735447587379,0.11716,1.1287723379808312,100000,0.508096252053287,63,38,30,1.0,0.05996434275913203
au_pension_only,1.5,0.470693790587775,0.11716,1.1287723379808312,100000,0.4804080569995763,63,38,30,1.0,0.05996434275913203
au_pension_only,1.75,0.4161098175694106,0.11716,1.1287723379808312,100000,0.4201142315857901,63,38,30,1.0,0.05996434275913203
au_pension_only,2.0,0.3701502881451285,0.11716,1.1287723379808312,100000,0.37142007656457054,63,38,30,1.0,0.05996434275913203
au_pension_only,1.0,0.6168190889530619,0.0996,1.3029757130277873,100000,0.6510062255707966,65,40,28,1.0,0.05221808562108241
