year,iso,tier,dom_eq,intl_eq,bond,bill,inflation,real_exchange_rate,available,provenance,country
1919,ESP,A,0.0003692816488143347,-0.16856239136013706,0.037900451378332534,0.02831163386742941,0.021091239429101627,1.634299417049804,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Spain
1919,FIN,A,0.16157913492546871,2.317414434895107,-0.062058396514025116,0.18430981679128178,-0.11340766929562152,1.070316784092935,True,JST/JKKST empirical 1896-2020; inflation 100% empirical,Finland
1919,FRA,A,-0.14024437693032332,-0.08219388330329203,-0.20096710826989928,,0.2571428571428569,0.921403275586425,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,France
1919,GBR,A,-0.004944989780855891,-0.14561247159370205,-0.16826760384518935,-0.06012715668596014,0.1010000000000002,1.0484794694618622,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,United Kingdom
1919,ITA,A,0.0005172863494149471,-0.028605718566545146,0.06795352856750547,,0.015145141552726171,0.810207663564474,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,Italy
1919,JPN,A,0.027778520670437734,-0.33808606184124146,-0.2305689264130556,-0.21423413638157307,0.33047266107535256,1.2943559877254533,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Japan
1919,NLD,A,0.06981405999519508,-0.02938744122106507,-0.12874523137924287,-0.043923759321609634,0.08641963397670116,0.8970745870333567,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Netherlands
1919,NOR,A,-0.17578385452557055,0.1490152539148064,-0.09865615221973034,-0.02125283312320414,0.06942838373977889,1.1698593679000961,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Norway
1919,PRT,A,0.003546102545154417,-0.1471743845042912,-0.0658222809878749,-0.07726865697707719,0.14334470989761106,0.8996788925250899,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Portugal
1919,SWE,A,-0.24505169588820386,0.09821818245109792,-0.03310075405060808,-0.049590226724967934,0.10373443983402497,1.2153772776453335,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Sweden
1919,USA,A,0.04408429046242213,-0.24746882712265827,-0.0948511343341687,-0.0922543360404886,0.14569536423841067,0.8801585477528127,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,United States
1920,AUS,A,0.06283200445841186,-0.22880882908434197,0.0053842415374560915,0.021926549946390095,0.01709394871794867,0.7314073543870417,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Australia
1920,BEL,A,-0.23727932976341093,-0.14830677881978072,-0.2074978037531694,-0.14300759452026246,0.2000779271381259,1.0890261721917491,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Belgium
1920,CHE,A,-0.1605990883585462,-0.27659488727320536,-0.053353654663173655,0.033687342936636666,0.009009163735351988,1.3221375819038605,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Switzerland
1920,DEU,A,-0.31346503361141265,-0.13530926165360346,-0.5436733666565383,-0.5779407430334627,1.4543946931246388,0.46030392192436165,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Germany
1920,DNK,A,-0.22613215713356427,-0.18052591028773024,-0.14263928320495556,-0.0956263638056758,0.18656709757216938,1.0700648570855626,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Denmark
1920,ESP,A,0.04111042863458936,0.005570400936842468,-0.01151738427307103,0.0371792626134837,0.022002692174839744,1.287817104149924,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Spain
1920,FIN,A,-0.04813892021775246,-0.29367705916119113,-0.07952019572257996,0.06499999761581421,0.0,1.1777891813980135,True,JST/JKKST empirical 1896-2020; inflation 100% empirical,Finland
1920,FRA,A,-0.3267779794872785,-0.0632595675000519,-0.28753600068023955,,0.38636363636363646,0.795110623650035,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,France
1920,GBR,A,-0.3183678806964404,-0.31241573894281116,-0.1970427101881499,-0.07963604793804768,0.15399999999999991,1.2116086269171893,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,United Kingdom
1920,ITA,A,-0.3770643281552163,0.1774227989002275,-0.3258418554778876,,0.3140621717365635,0.5630303963030564,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,Italy
1920,JPN,A,-0.07351053896590087,-0.37862301120092356,-0.03142682886241732,0.006393630836184272,0.04603205629397977,1.6049599074838437,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Japan
1920,NLD,A,-0.31875486564273803,-0.32289772051051757,-0.11299749204406329,-0.059670189667544116,0.10227282818684769,1.0517234383466285,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Netherlands
1920,NOR,A,-0.3105595006361349,-0.20741713817261254,-0.20640479887958874,-0.09396930703929285,0.16530268405463278,1.1817593197887406,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Norway
1920,PRT,A,-0.46816696464244656,0.05718941024062674,-0.362734886528603,-0.38198275844855556,0.7313432835820894,0.6974780005068977,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Portugal
1920,SWE,A,-0.20133209943331476,-0.3008255444157323,-0.12247312404352806,0.034553506909921206,0.018796992481203034,1.3682750651406699,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Sweden
1920,USA,A,-0.29015694558620453,-0.44162753500494456,-0.16194234303198762,-0.1004000007733703,0.1560693641618498,1.2309168749488228,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,United States
